Branch,Season,Type,Sample,Temp,Turbidity,Colour,pH,Alkalinity,Hardness,Iron,Ammonia,Chloride
Bansbari,Summer,Tube-well,Un-treated,30.20,3.70,1.10,8.60,101.00,83.00,4.00,4.41,91.22
Bansbari,Summer,Tube-well,Un-treated,28.40,4.70,0.60,8.90,196.00,96.00,2.80,3.20,93.01
Chhetrapati,Summer,Tube-well,Un-treated,29.80,2.10,0.10,8.70,139.00,550.00,3.30,129.00,56.02
Chhetrapati,Summer,Tube-well,Un-treated,29.80,3.10,0.90,8.10,173.00,170.00,3.40,111.00,57.01
Chhetrapati,Summer,Tube-well,Un-treated,28.90,1.20,0.30,8.00,144.00,201.00,2.40,3.04,63.01
Chhetrapati,Summer,Tube-well,Un-treated,30.40,2.10,1.20,8.60,187.00,178.00,2.50,3.08,71.01
Chhetrapati,Summer,Tube-well,Un-treated,29.80,3.20,2.10,8.50,1110.00,192.00,2.30,10.11,61.01
Chhetrapati,Summer,Tube-well,Un-treated,28.60,1.10,0.90,8.30,187.00,182.00,2.40,12.04,58.63
Chhetrapati,Summer,Tube-well,Un-treated,28.50,2.20,0.80,5.50,1101.00,132.00,2.40,11.01,68.01
Chhetrapati,Summer,Tube-well,Un-treated,30.10,1.50,1.90,6.50,181.00,144.00,3.00,9.10,70.02
Chhetrapati,Summer,Tube-well,Un-treated,29.20,5.40,2.10,7.50,183.00,156.00,3.10,12.30,10.05
Chhetrapati,Summer,Tube-well,Un-treated,28.10,2.20,0.40,7.80,191.00,197.00,0.60,113.00,6.01
Chhetrapati,Summer,Tube-well,Un-treated,27.90,1.30,0.10,8.90,237.00,113.00,0.70,12.04,72.02
Chhetrapati,Summer,Tube-well,Un-treated,28.90,3.20,2.10,8.00,333.00,514.00,0.80,13.05,68.01
Chhetrapati,Summer,Tube-well,Un-treated,30.20,1.20,1.30,8.10,149.00,139.00,2.10,13.05,70.01
Chhetrapati,Summer,Tube-well,Un-treated,29.80,3.20,1.40,8.30,137.00,441.00,1.80,180.00,85.01
Chhetrapati,Summer,Tube-well,Un-treated,30.40,6.40,5.40,8.60,56.00,87.00,3.00,190.00,91.03
Tripureshwor,Summer,Dug well,Un-treated,30.40,2.80,0.30,8.60,1151.00,542.00,3.00,125.00,79.00
Tripureshwor,Summer,Dug well,Un-treated,29.50,2.90,1.10,8.50,137.00,443.00,3.10,133.00,80.00
Tripureshwor,Summer,Dug well,Un-treated,28.40,2.30,0.50,8.30,402.00,421.00,3.00,140.00,52.00
Tripureshwor,Summer,Dug well,Un-treated,30.20,2.10,2.20,8.70,321.00,70.00,2.00,10.01,14.00
Tripureshwor,Summer,Dug well,Un-treated,28.50,2.60,0.40,6.50,192.00,81.00,2.00,3.01,61.00
Tripureshwor,Summer,Dug well,Un-treated,29.40,1.90,0.90,8.60,198.00,93.00,0.40,3.80,63.00
