ID,SCH_NAME,GENDER,LEVEL,EDUCATION,EXPERIENCE,KA1,KA2,KA3,KA4,KA5,KA6,TS1,TS2,TS3,TS4,TS5,TS6,IS1,IS2,IS3,IS4,IS5,IS6,IP1,IP2,IP3,IP4,IP5,IP6,TP1,TP2,TP3,TP4,TP5,TP6
101,NARENDRA MEMORIAL JANATA MA VI,FEMALE,PRIMARY TEACHER,MASTERS,10-20 YEARS,5,4,4,4,4,5,1,1,5,4,3,5,5,5,4,4,5,4,5,5,4,5,4,5,5,5,5,4,5,5
102,NARENDRA MEMORIAL JANATA MA VI,MALE,PRIMARY TEACHER,10+2 OR PCL,BELOW 10 YEARS,1,2,4,5,5,4,1,2,1,4,1,2,1,5,4,5,1,5,4,5,5,5,3,5,5,5,4,5,3,4
103,NARENDRA MEMORIAL JANATA MA VI,MALE,SECONDARY TEACHER,BACHERLORS,BELOW 10 YEARS,4,3,3,4,5,4,2,3,2,3,2,2,3,4,3,2,4,4,5,4,3,4,4,3,4,4,4,4,5,4
104,NARENDRA MEMORIAL JANATA MA VI,MALE,LOWER SECONDARY TEACHER,MASTERS,BELOW 10 YEARS,1,5,5,5,5,5,3,2,5,5,1,1,5,5,5,1,4,1,1,1,4,5,5,4,1,1,5,4,4,1
105,NARENDRA MEMORIAL JANATA MA VI,MALE,PRIMARY TEACHER,BACHERLORS,10-20 YEARS,1,5,5,5,5,5,3,1,2,2,1,2,3,4,1,1,1,1,1,3,4,1,2,3,1,2,3,3,4,2
106,NARENDRA MEMORIAL JANATA MA VI,MALE,PRIMARY TEACHER,10+2 OR PCL,10-20 YEARS,4,2,4,4,5,5,4,5,5,5,4,2,4,5,4,3,4,5,4,5,2,2,4,5,5,5,3,4,4,4
107,NARENDRA MEMORIAL JANATA MA VI,FEMALE,PRIMARY TEACHER,MASTERS,BELOW 10 YEARS,5,5,4,4,4,4,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,5,5,4
108,NARENDRA MEMORIAL JANATA MA VI,MALE,PRIMARY TEACHER,BACHERLORS,10-20 YEARS,4,5,5,5,5,3,4,1,3,1,1,1,1,4,1,1,1,1,4,2,1,4,2,5,1,1,5,1,5,2
109,NARENDRA MEMORIAL JANATA MA VI,MALE,LOWER SECONDARY TEACHER,10+2 OR PCL,21-30 YEARS,4,4,4,5,4,4,3,4,4,4,2,2,4,5,5,4,4,5,4,4,4,3,3,4,4,5,4,4,4,4
110,NARENDRA MEMORIAL JANATA MA VI,FEMALE,OTHERS,SLC/SEE,10-20 YEARS,5,4,5,2,5,4,5,4,3,1,5,1,2,1,5,1,5,1,5,4,2,1,3,5,1,5,3,2,5,1
111,NARENDRA MEMORIAL JANATA MA VI,MALE,LOWER SECONDARY TEACHER,MASTERS,10-20 YEARS,5,5,4,4,4,5,3,4,3,4,3,4,5,5,4,2,3,5,5,4,5,4,5,3,4,4,5,3,4,4
112,NARENDRA MEMORIAL JANATA MA VI,MALE,PRIMARY TEACHER,10+2 OR PCL,ABOVE 30 YEARS,4,4,4,4,4,4,2,1,2,2,1,1,5,4,4,2,5,4,4,4,2,4,4,3,4,4,4,4,4,4
113,NARENDRA MEMORIAL JANATA MA VI,MALE,SECONDARY TEACHER,MASTERS,21-30 YEARS,4,4,4,4,3,2,2,3,2,2,2,1,2,4,2,1,1,1,4,3,2,3,4,2,4,3,2,3,4,3
114,NARENDRA MEMORIAL JANATA MA VI,MALE,LOWER SECONDARY TEACHER,MASTERS,21-30 YEARS,1,2,1,1,2,1,1,2,1,2,2,2,4,5,3,3,3,4,2,2,1,2,1,2,4,4,5,4,5,2
115,NARENDRA MEMORIAL JANATA MA VI,FEMALE,LOWER SECONDARY TEACHER,MASTERS,10-20 YEARS,3,2,3,3,3,4,1,2,2,3,1,3,3,4,4,2,3,3,3,2,1,3,3,4,4,5,4,4,4,4
116,NARENDRA MEMORIAL JANATA MA VI,FEMALE,PRIMARY TEACHER,BACHERLORS,10-20 YEARS,5,4,4,4,4,4,4,4,4,3,3,4,5,5,5,4,5,5,4,4,3,4,4,5,5,5,5,5,5,5
20,PUBLIC BINDESWARI MA VI,FEMALE,OTHERS,MASTERS,BELOW 10 YEARS,5,2,2,2,2,3,1,1,1,1,1,1,2,2,2,2,2,2,4,4,3,3,4,4,3,2,4,2,2,3
23,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,MASTERS,BELOW 10 YEARS,4,3,3,4,3,4,1,2,2,3,2,3,4,4,4,4,4,4,4,4,3,5,4,4,4,5,5,5,5,4
24,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,MASTERS,ABOVE 30 YEARS,4,3,3,4,3,4,2,2,2,3,2,3,4,4,4,4,4,4,4,4,3,5,4,4,4,5,5,5,5,4
25,PUBLIC BINDESWARI MA VI,MALE,SECONDARY TEACHER,SLC/SEE,21-30 YEARS,5,4,4,4,4,3,2,4,2,3,2,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4
26,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,MASTERS,10-20 YEARS,4,3,3,4,2,3,1,1,4,3,2,3,3,4,3,3,2,3,3,3,4,4,3,3,1,2,3,2,3,1
27,PUBLIC BINDESWARI MA VI,MALE,OTHERS,BACHERLORS,BELOW 10 YEARS,2,4,2,2,1,3,1,2,3,2,2,3,4,4,3,2,4,4,4,3,2,4,3,4,4,4,4,4,4,3
28,PUBLIC BINDESWARI MA VI,FEMALE,SECONDARY TEACHER,MASTERS,10-20 YEARS,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,3,2,3,2,4,3
29,PUBLIC BINDESWARI MA VI,MALE,SECONDARY TEACHER,MASTERS,21-30 YEARS,4,4,4,2,4,4,1,1,1,1,1,1,2,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
30,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,10+2 OR PCL,21-30 YEARS,3,2,5,3,3,4,2,2,3,5,3,4,5,4,4,4,4,4,4,4,4,5,4,3,4,3,3,4,4,4
31,PUBLIC BINDESWARI MA VI,FEMALE,LOWER SECONDARY TEACHER,BACHERLORS,BELOW 10 YEARS,5,4,4,3,3,4,1,3,4,5,2,3,5,4,4,2,4,3,4,3,4,5,3,4,5,3,4,2,4,2
32,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,10+2 OR PCL,ABOVE 30 YEARS,5,3,4,3,5,4,1,3,3,4,2,2,4,5,3,4,5,3,4,3,3,5,4,3,5,3,5,2,5,2
33,PUBLIC BINDESWARI MA VI,FEMALE,LOWER SECONDARY TEACHER,BACHERLORS,21-30 YEARS,5,2,4,4,5,4,2,2,3,4,1,1,4,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4
34,PUBLIC BINDESWARI MA VI,FEMALE,SECONDARY TEACHER,MASTERS,21-30 YEARS,5,2,4,4,5,4,2,2,3,4,2,1,4,4,2,2,4,4,4,4,4,2,4,4,5,4,4,2,4,4
35,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,BACHERLORS,BELOW 10 YEARS,4,4,3,3,4,5,2,1,4,4,1,4,2,5,2,3,3,4,5,4,3,4,5,4,4,4,5,4,4,4
36,PUBLIC BINDESWARI MA VI,MALE,LOWER SECONDARY TEACHER,BACHERLORS,21-30 YEARS,4,4,4,4,4,4,2,2,2,3,2,2,4,4,2,2,2,3,4,4,2,4,4,4,2,2,2,2,2,2
37,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,10+2 OR PCL,BELOW 10 YEARS,2,2,2,4,3,3,2,2,3,4,2,4,3,4,5,4,4,3,4,4,2,5,4,4,4,2,2,3,3,4
38,PUBLIC BINDESWARI MA VI,FEMALE,SECONDARY TEACHER,MASTERS,10-20 YEARS,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,2
39,PUBLIC BINDESWARI MA VI,MALE,SECONDARY TEACHER,MASTERS,ABOVE 30 YEARS,3,2,2,2,3,4,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,5,2,5,5
40,PUBLIC BINDESWARI MA VI,MALE,PRIMARY TEACHER,BACHERLORS,BELOW 10 YEARS,4,3,4,4,4,3,3,3,4,4,1,4,4,4,4,3,3,4,4,4,3,4,3,3,4,4,4,3,4,4
41,PUBLIC BINDESWARI MA VI,MALE,PRIMARY TEACHER,10+2 OR PCL,ABOVE 30 YEARS,4,3,3,4,3,4,1,2,2,3,2,3,4,4,4,4,4,4,4,4,3,5,4,4,4,5,5,5,5,4
81,PUBLIC BINDESWARI MA VI,MALE,PRIMARY TEACHER,MASTERS,BELOW 10 YEARS,5,5,4,5,5,4,5,5,4,5,5,4,4,5,5,4,4,5,5,5,4,4,5,4,4,4,3,4,4,5
117,PUBLIC BINDESWARI MA VI,FEMALE,OTHERS,BACHERLORS,10-20 YEARS,4,2,4,4,5,5,4,4,4,4,2,4,4,4,5,4,4,5,4,4,4,5,5,4,5,5,5,5,4,4
118,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,MASTERS,10-20 YEARS,5,5,5,2,4,5,1,1,1,4,1,5,5,4,3,3,4,4,5,4,1,5,5,4,2,3,5,3,5,4
119,PUBLIC BINDESWARI MA VI,FEMALE,PRIMARY TEACHER,10+2 OR PCL,21-30 YEARS,2,2,4,4,3,4,2,2,3,4,3,4,4,4,5,4,4,5,4,5,5,4,5,1,4,4,4,4,4,4
120,PUBLIC BINDESWARI MA VI,MALE,PRIMARY TEACHER,BACHERLORS,BELOW 10 YEARS,5,4,4,4,5,4,3,4,4,5,3,4,3,5,3,4,4,4,5,5,4,5,4,3,3,3,5,4,5,4
121,PUBLIC BINDESWARI MA VI,MALE,PRIMARY TEACHER,BACHERLORS,10-20 YEARS,5,5,5,5,5,4,5,5,5,4,4,4,4,5,4,3,4,4,5,4,2,4,4,3,3,3,3,4,4,4
1,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,SECONDARY TEACHER,MASTERS,ABOVE 30 YEARS,5,4,4,5,3,4,1,4,5,4,4,5,4,4,5,4,2,5,3,4,5,4,3,5,4,2,4,4,4,5
2,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,SECONDARY TEACHER,MASTERS,10-20 YEARS,5,4,4,5,5,5,1,4,1,4,1,1,1,4,4,1,4,4,5,4,4,1,4,4,5,5,4,4,5,5
3,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,PRIMARY TEACHER,10+2 OR PCL,10-20 YEARS,4,2,1,1,1,3,1,1,1,1,1,1,4,4,4,3,4,4,4,3,1,1,1,1,4,4,4,5,4,4
4,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,LOWER SECONDARY TEACHER,BACHERLORS,21-30 YEARS,5,4,5,5,5,1,1,3,4,2,1,2,5,4,3,1,3,5,5,5,5,4,5,4,5,5,5,5,4,5
